iso_code,continent,location,last_updated_date,new_cases_per_million,new_deaths_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,median_age,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index
TWN,Asia,Taiwan,10/19/21,0.252,0,63.15,22.96,42.2,,103.957,,80.46,
TJK,Asia,Tajikistan,10/19/21,0,0,25.79,20.64,23.3,2896.913,427.698,7.11,71.1,0.668
TZA,Africa,Tanzania,10/19/21,0,0,,,17.7,2683.304,217.288,5.75,65.46,0.529
THA,Asia,Thailand,10/19/21,130.406,1.015,52.83,36.15,40.1,16277.671,109.861,7.04,77.15,0.777
TLS,Asia,Timor,10/19/21,3.721,0.744,36.89,23.44,18,6570.102,335.346,6.86,69.5,0.606
TGO,Africa,Togo,10/19/21,2.713,0.118,10.23,4.95,19.4,1429.813,280.033,6.15,61.04,0.515
TKL,Oceania,Tokelau,10/12/21,,,70.76,70.76,,,,,81.86,
TON,Oceania,Tonga,10/18/21,,,46.66,28.33,22.3,5425.621,227.49,15.42,70.91,0.725
TTO,North America,Trinidad and Tobago,10/19/21,98.334,5.701,43.67,40.69,36.2,28763.071,228.467,10.97,73.51,0.796
TUN,Africa,Tunisia,10/19/21,4.524,0.251,45.34,35.24,32.7,10849.297,318.991,8.52,76.7,0.74
TUR,Asia,Turkey,10/19/21,362.9,2.622,64.63,55.96,31.6,25129.341,171.285,12.13,77.69,0.82
TCA,North America,Turks and Caicos Islands,10/8/21,,,72.16,66.57,,,,,80.22,
UGA,Africa,Uganda,10/19/21,0.467,0.042,5.05,0.88,16.4,1697.707,213.333,2.5,63.37,0.544
UKR,Europe,Ukraine,10/19/21,379.232,12.929,18.88,15.32,41.4,7894.393,539.849,7.11,72.06,0.779
ARE,Asia,United Arab Emirates,10/19/21,12.211,0.2,95.53,85.63,34,67293.483,317.84,17.26,77.97,0.89
GBR,Europe,United Kingdom,10/19/21,639.64,3.269,72.52,66.56,40.8,39753.244,122.137,4.28,81.32,0.932
USA,North America,United States,10/19/21,244.02,7.08,65.16,56.34,38.3,54225.446,151.089,10.79,78.86,0.926
URY,South America,Uruguay,10/19/21,54.804,0,79.02,74.86,35.6,20551.409,160.708,6.93,77.91,0.817
UZB,Asia,Uzbekistan,10/19/21,10.078,0.059,37.9,17.06,28.2,6253.104,724.417,7.57,71.72,0.72
VUT,Oceania,Vanuatu,10/19/21,0,0,18.83,9.02,23.1,2921.909,546.3,12.02,70.47,0.609
VAT,Europe,Vatican,10/19/21,0,,,,,,,,75.12,
VEN,South America,Venezuela,10/19/21,40.481,0.488,34.58,21.57,29,16745.022,204.85,6.47,72.06,0.711
VNM,Asia,Vietnam,10/19/21,30.906,0.764,47.36,18.84,32.6,6171.884,245.465,6,75.4,0.704
WLF,Oceania,Wallis and Futuna,10/18/21,,,52.11,47.96,,,,,79.94,
OWID_WRL,,World,10/19/21,55.398,1.017,47.87,36.39,30.9,15469.207,233.07,8.51,72.58,0.737
YEM,Asia,Yemen,10/19/21,0.623,0.197,,,20.3,1479.147,495.003,5.35,66.12,0.47
ZMB,Africa,Zambia,10/19/21,0.687,0,,2.63,17.7,3689.251,234.499,3.94,63.89,0.584
ZWE,Africa,Zimbabwe,10/19/21,2.452,0.066,21.48,16.57,19.6,1899.775,307.846,1.82,61.49,0.571
